target,source,status,count,phase,source_travel,target_travel
31736700,7121092,YES,11,2,0.00766446045794,0.0
35014644,7121092,YES,1,2,0.00766446045794,0.0
36592529,7121092,YES,4,2,0.00766446045794,0.00289495847887
39393024,7121092,YES,2,2,0.00766446045794,0.0
39940842,7121092,YES,28,2,0.00766446045794,0.00440148768573
45796182,7121092,YES,5,2,0.00766446045794,0.0072167499261
48754048,7121092,YES,2,2,0.00766446045794,0.0
56102549,7121092,YES,2,2,0.00766446045794,0.00138668899419
89321553,7121092,YES,1,2,0.00766446045794,0.000201132582725
94853204,7121092,YES,4,2,0.00766446045794,0.0163555009331
102816998,7121092,YES,1,2,0.00766446045794,0.00159329470366
107626769,7121092,YES,2,2,0.00766446045794,0.00556212610752
128721452,7121092,YES,3,2,0.00766446045794,0.0016550743156
137694679,7121092,YES,1,2,0.00766446045794,0.00363068879672
144101650,7121092,YES,1,2,0.00766446045794,0.000113615019143
147026000,7121092,YES,2,2,0.00766446045794,0.0104419851305
177454156,7121092,YES,1,2,0.00766446045794,0.0
202211291,7121092,YES,9,2,0.00766446045794,0.00324932953803
214185444,7121092,YES,4,2,0.00766446045794,0.0
230606505,7121092,YES,8,2,0.00766446045794,0.0
254592252,7121092,YES,2,2,0.00766446045794,0.0
256835387,7121092,YES,3,2,0.00766446045794,0.00457968095448
262566706,7121092,YES,1,2,0.00766446045794,0.0109300149411
269515121,7121092,YES,5,2,0.00766446045794,0.00210726258388
306944590,7121092,YES,3,2,0.00766446045794,0.00332988724363
325609556,7121092,YES,4,2,0.00766446045794,0.0050749955914
370618414,7121092,YES,7,2,0.00766446045794,0.000821634543643
398915762,7121092,YES,1,2,0.00766446045794,0.0
483195215,7121092,YES,14,2,0.00766446045794,0.00272867827856
497101636,7121092,YES,8,2,0.00766446045794,0.0
540244828,7121092,YES,9,2,0.00766446045794,0.000693443398432
818798281,7121092,YES,1,2,0.00766446045794,0.00860669685721
919046790,7121092,YES,1,2,0.00766446045794,0.00817715304964
950340409,7121092,YES,5,2,0.00766446045794,0.0
1093948830,7121092,YES,1,2,0.00766446045794,0.0
1195403648,7121092,YES,2,2,0.00766446045794,0.0105075526468
1902678374,7121092,YES,33,2,0.00766446045794,0.00429454770788
2242816321,7121092,YES,2,2,0.00766446045794,0.0
2815544564,7121092,YES,32,2,0.00766446045794,0.00230708932615
2828638621,7121092,YES,2,2,0.00766446045794,0.0080983815065
2915031318,7121092,YES,4,2,0.00766446045794,0.0112911963185
2954196531,7121092,YES,12,2,0.00766446045794,0.0
3008274374,7121092,YES,6,2,0.00766446045794,0.0
3010573975,7121092,YES,2,2,0.00766446045794,0.00241129322384
3015271772,7121092,YES,1,2,0.00766446045794,0.00186871480674
3114344983,7121092,YES,1,2,0.00766446045794,0.0194718077302
3184646412,7121092,YES,6,2,0.00766446045794,0.0
3886400655,7121092,YES,4,2,0.00766446045794,0.0
10609,18809624,YES,1,2,0.00448427998498,0.00214629394367
14834802,18809624,YES,1,2,0.00448427998498,0.00328874406591
24858136,18809624,YES,3,2,0.00448427998498,0.00296960986324
25415300,18809624,YES,4,2,0.00448427998498,0.0576091678722
26642880,18809624,YES,2,2,0.00448427998498,0.00246630757829
36079205,18809624,YES,2,2,0.00448427998498,0.00553294251749
64198441,18809624,YES,2,2,0.00448427998498,0.00500386228354
72551711,18809624,YES,38,2,0.00448427998498,0.0407060625159
86369703,18809624,YES,28,2,0.00448427998498,0.019547537041
123060735,18809624,YES,6,2,0.00448427998498,0.0
253808421,18809624,YES,6,2,0.00448427998498,0.00399972391634
255867233,18809624,YES,1,2,0.00448427998498,0.0
316003597,18809624,YES,6,2,0.00448427998498,0.00654075812145
492769186,18809624,YES,2,2,0.00448427998498,0.00817698498742
771705403,18809624,YES,4,2,0.00448427998498,0.0363528198012
1393470344,18809624,YES,2,2,0.00448427998498,0.00467764389278
2266902161,18809624,YES,1,2,0.00448427998498,0.00541554891678
2308668493,18809624,YES,2,2,0.00448427998498,0.00401021657705
2875700721,18809624,YES,8,2,0.00448427998498,0.042757573847
3755466376,18809624,YES,2,2,0.00448427998498,0.047771116529
3857155036,18809624,YES,1,2,0.00448427998498,0.0
4240644436,18809624,YES,2,2,0.00448427998498,0.00440099177459
