target,source,status,count,phase,source_score,target_score,tp1,tp2,tp3,favTopic_target,sp1,sp2,sp3,favTopic_source
310080433,15655027,YES,4,2,0.0202130872689,0.0,0,0,0,holiday+home,1,0,0,holiday+home
351218463,15655027,YES,1,2,0.0202130872689,0.000298629775241,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
2388901877,15655027,YES,15,2,0.0202130872689,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
2845016384,15655027,YES,2,2,0.0202130872689,1.0,0,1,0,SocialNetwork,1,0,0,holiday+home
2875700721,15655027,YES,2,2,0.0202130872689,0.00187590683987,0,1,1,holiday+xmas+newyear,1,0,0,holiday+home
3145249974,15655027,YES,10,2,0.0202130872689,0.0,0,0,0,food+cook,1,0,0,holiday+home
3256043222,15655027,YES,2,2,0.0202130872689,0.0,0,0,0,holiday+home,1,0,0,holiday+home
4281221712,15655027,YES,2,2,0.0202130872689,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
15568852,213405395,YES,8,2,0.0114766795446,0.00377196650658,0,0,1,holiday+xmas+newyear,0,1,0,holiday+home
20253942,213405395,YES,2,2,0.0114766795446,0.0,0,0,0,holiday+home,0,1,0,holiday+home
26460305,213405395,YES,1,2,0.0114766795446,0.00030714243298,0,0,1,holiday+xmas+newyear,0,1,0,holiday+home
35075210,213405395,YES,1,2,0.0114766795446,0.0,0,0,0,holiday+xmas+newyear,0,1,0,holiday+home
49559323,213405395,YES,2,2,0.0114766795446,0.0,0,0,0,holiday+gift,0,1,0,holiday+home
112468555,213405395,YES,1,2,0.0114766795446,0.000744733938318,0,0,1,holiday+xmas+newyear,0,1,0,holiday+home
140241017,213405395,YES,2,2,0.0114766795446,0.0,0,0,0,holiday+gift,0,1,0,holiday+home
141323179,213405395,YES,1,2,0.0114766795446,0.0,0,0,0,holiday+home,0,1,0,holiday+home
163688274,213405395,YES,1,2,0.0114766795446,0.0,0,0,0,holiday+xmas+newyear,0,1,0,holiday+home
172759774,213405395,YES,2,2,0.0114766795446,0.0,0,0,0,holiday+home,0,1,0,holiday+home
218713117,213405395,YES,2,2,0.0114766795446,0.0,0,0,0,holiday+xmas+newyear,0,1,0,holiday+home
256224751,213405395,YES,2,2,0.0114766795446,0.000933458992608,0,0,1,holiday+home,0,1,0,holiday+home
260232867,213405395,YES,2,2,0.0114766795446,0.000157462000896,0,0,1,holiday+xmas+newyear,0,1,0,holiday+home
296676049,213405395,YES,2,2,0.0114766795446,0.000220973746867,0,0,1,holiday+gift,0,1,0,holiday+home
300577552,213405395,YES,2,2,0.0114766795446,0.00446590364369,0,0,1,holiday+xmas+newyear,0,1,0,holiday+home
311753127,213405395,YES,1,2,0.0114766795446,0.0,0,0,0,holiday+xmas+newyear,0,1,0,holiday+home
374855929,213405395,YES,2,2,0.0114766795446,0.0,0,0,0,holiday+gift,0,1,0,holiday+home
390197534,213405395,YES,1,2,0.0114766795446,0.0,0,0,0,holiday+home,0,1,0,holiday+home
408865337,213405395,YES,2,2,0.0114766795446,0.0,0,0,0,holiday+gift,0,1,0,holiday+home
