target,source,status,count,phase,source_weekend_home,target_weekend_home
424594348,39940842,YES,4,2,0.00750819610407,0.0
577256073,39940842,YES,2,2,0.00750819610407,0.0
596504164,39940842,YES,2,2,0.00750819610407,0.00304656106709
614322634,39940842,YES,2,2,0.00750819610407,0.0264314586456
873932130,39940842,YES,2,2,0.00750819610407,0.0
885327019,39940842,YES,1,2,0.00750819610407,0.0142090773339
1013215946,39940842,YES,2,2,0.00750819610407,0.0
1074008324,39940842,YES,5,2,0.00750819610407,0.00756298898267
1093948830,39940842,YES,2,2,0.00750819610407,0.00557852438354
1267810070,39940842,YES,1,2,0.00750819610407,0.0
1373835020,39940842,YES,1,2,0.00750819610407,0.0
1626442182,39940842,YES,1,2,0.00750819610407,0.0
1726854992,39940842,YES,1,2,0.00750819610407,0.0
1911598638,39940842,YES,2,2,0.00750819610407,0.0
2159150539,39940842,YES,2,2,0.00750819610407,0.0061676228604
2314634707,39940842,YES,2,2,0.00750819610407,0.00310596295988
2321409607,39940842,YES,4,2,0.00750819610407,0.0
2355289398,39940842,YES,10,2,0.00750819610407,0.0
2537681188,39940842,YES,2,2,0.00750819610407,0.0
2647564096,39940842,YES,2,2,0.00750819610407,0.00251231253722
2737126338,39940842,YES,2,2,0.00750819610407,0.00156376156557
2821444360,39940842,YES,1,2,0.00750819610407,0.00225745770528
2966848055,39940842,YES,2,2,0.00750819610407,0.00173877401069
2994683279,39940842,YES,2,2,0.00750819610407,0.0
3099848394,39940842,YES,2,2,0.00750819610407,0.0
3164506695,39940842,YES,1,2,0.00750819610407,0.125900782572
3270537818,39940842,YES,2,2,0.00750819610407,0.0
3607433660,39940842,YES,2,2,0.00750819610407,0.0
3886400655,39940842,YES,4,2,0.00750819610407,0.0
4079959038,39940842,YES,1,2,0.00750819610407,0.0
4176337750,39940842,YES,12,2,0.00750819610407,0.0
4281221712,39940842,YES,4,2,0.00750819610407,0.0
4325865021,39940842,YES,4,2,0.00750819610407,0.0
13175582,818155,YES,1,2,0.00510868463175,0.0142746834654
17941979,818155,YES,1,2,0.00510868463175,0.00295274511379
18809624,818155,YES,2,2,0.00510868463175,0.00438247778692
25549372,818155,YES,1,2,0.00510868463175,0.0049315998588
26725246,818155,YES,2,2,0.00510868463175,0.0
38763227,818155,YES,2,2,0.00510868463175,0.00680149022456
48918395,818155,YES,7,2,0.00510868463175,0.0
85998031,818155,YES,2,2,0.00510868463175,0.00257061116179
172085616,818155,YES,2,2,0.00510868463175,0.00298246173015
487104933,818155,YES,9,2,0.00510868463175,0.00120859501797
514613499,818155,YES,4,2,0.00510868463175,0.0130653960295
1327155384,818155,YES,2,2,0.00510868463175,0.0114449558042
3000096146,818155,YES,2,2,0.00510868463175,0.0
4459903099,818155,YES,2,2,0.00510868463175,0.0559083570398
10609,18809624,YES,1,2,0.00438247778692,0.000651428177444
14834802,18809624,YES,1,2,0.00438247778692,0.0141083046068
24858136,18809624,YES,3,2,0.00438247778692,0.00242042502881
25415300,18809624,YES,4,2,0.00438247778692,0.0
26642880,18809624,YES,2,2,0.00438247778692,0.0038671212022
36079205,18809624,YES,2,2,0.00438247778692,0.00452471434252
64198441,18809624,YES,2,2,0.00438247778692,0.0
72551711,18809624,YES,38,2,0.00438247778692,0.00380000681681
86369703,18809624,YES,28,2,0.00438247778692,0.0132874552636
123060735,18809624,YES,6,2,0.00438247778692,0.00747369002913
