userID,PhaseI,PhaseII,PhaseIII,score,favTopic
1525296006,0,0,0,0.00533524880888,holiday+home
214185444,0,0,0,0.00509030760499,holiday+xmas+newyear
2757256476,0,0,0,0.00479835744928,holiday+xmas+newyear
457500054,0,0,0,0.00475227528934,holiday+xmas+newyear
368522765,0,0,0,0.00456369325194,food
36592529,0,0,0,0.00453833478702,holiday+xmas+newyear
35075210,0,0,0,0.00439078555807,holiday+xmas+newyear
4322880561,0,0,0,0.00433118098974,holiday+xmas+newyear
180392529,0,0,0,0.00410465945759,holiday+xmas+newyear
521887162,0,0,0,0.00374697858045,holiday+xmas+newyear
1195403648,0,0,0,0.00369535981567,holiday+xmas+newyear
2555217416,0,0,0,0.0036884974665,holiday+gift
1093948830,0,0,0,0.00365825506272,holiday+xmas+newyear
49559323,0,0,0,0.00362190414316,holiday+gift
107137425,0,0,0,0.00328742112816,travel
89321553,0,0,0,0.00317843231266,holiday+xmas+newyear
45796182,0,0,0,0.0031109941113,holiday+xmas+newyear
28410628,0,0,0,0.00292933657558,holiday+home
370618414,0,0,0,0.00239307900846,holiday+xmas+newyear
3098493155,0,0,0,0.00231234588593,holiday+xmas+newyear
65207600,0,0,0,0.00224622350799,holiday+xmas+newyear
3261421430,0,0,0,0.00222784760198,holiday+xmas+newyear
141323179,0,0,0,0.00219722890991,holiday+home
539978648,0,0,0,0.00204557551733,holiday+home
1578979350,0,0,0,0.00179330386589,holiday+xmas+newyear
309805419,0,0,0,0.00125487710713,holiday+home
4444267452,0,0,0,0.00119033189854,holiday+home
2305468748,0,0,0,0.00115423514284,holiday+home
598546794,0,0,0,0.00114976662632,holiday+xmas+newyear
15773072,0,0,0,0.00107694856864,holiday+xmas+newyear
107626769,0,0,0,0.00100024696842,holiday+home
253988907,0,0,0,0.00079319767753,travel
31736700,0,0,0,0.000739179335726,holiday+xmas+newyear
2857171543,0,0,0,0.000525933871184,holiday+home
3493590441,0,0,0,0.000523091904771,holiday+xmas+newyear
630797062,0,0,0,0.000373429141336,holiday+xmas+newyear
3309716130,0,0,0,0.00034023859853,food+cook
2427263750,0,0,0,0.000281735725778,holiday+home
4817732068,0,0,0,0.000138520041739,SocialNetwork
196605786,0,0,0,0.000104420114161,holiday+xmas+newyear
306775372,0,0,0,1.28713431664e-06,holiday+xmas+newyear
2170225472,0,0,0,0.0,holiday+home
218713117,0,0,0,0.0,holiday+xmas+newyear
